POS,Rank,Simplified,Traditional,Pinyin,English,HSK
noun,51,下午,下午,xiàwǔ,afternoon,2
noun,52,晚上,晚上,wǎnshang,evening / night,2
noun,53,时候,時候,shíhou,time / moment,2
noun,54,小时,小時,xiǎoshí,hour,2
noun,55,分钟,分鐘,fēnzhōng,minute,2
noun,56,生日,生日,shēngrì,birthday,2
noun,57,哥哥,哥哥,gēge,older brother,2
noun,58,姐姐,姐姐,jiějie,older sister,2
noun,59,弟弟,弟弟,dìdi,younger brother,2
noun,60,妹妹,妹妹,mèimei,younger sister,2
noun,61,孩子,孩子,háizi,child,2
noun,62,男人,男人,nánrén,man,2
noun,63,女人,女人,nǚrén,woman,2
noun,64,男孩,男孩,nánhái,boy,2
noun,65,女孩,女孩,nǚhái,girl,2
noun,66,公司,公司,gōngsī,company,2
noun,67,工作,工作,gōngzuò,work / job,2
noun,68,教室,教室,jiàoshì,classroom,2
noun,69,房间,房間,fángjiān,room,2
noun,70,门,門,mén,door / gate,2
noun,71,路,路,lù,road / way,2
noun,72,公共汽车,公共汽車,gōnggòng qìchē,bus,2
noun,73,火车,火車,huǒchē,train,2
noun,74,船,船,chuán,boat / ship,2
noun,75,自行车,自行車,zìxíngchē,bicycle,2
noun,76,宾馆,賓館,bīnguǎn,hotel,2
noun,77,饭店,飯店,fàndiàn,restaurant / hotel,2
noun,78,医院,醫院,yīyuàn,hospital,2
noun,79,商店,商店,shāngdiàn,shop / store,2
noun,80,机场,機場,jīchǎng,airport,2
noun,81,火车站,火車站,huǒchēzhàn,train station,2
noun,82,公园,公園,gōngyuán,park,2
noun,83,眼睛,眼睛,yǎnjing,eye,2
noun,84,鼻子,鼻子,bízi,nose,2
noun,85,嘴,嘴,zuǐ,mouth,2
noun,86,耳朵,耳朵,ěrduo,ear,2
noun,87,手,手,shǒu,hand,2
noun,88,身体,身體,shēntǐ,body,2
noun,89,头发,頭髮,tóufa,hair (on head),2
noun,90,衣服,衣服,yīfu,clothes,2
noun,91,面包,麵包,miànbāo,bread,2
noun,92,鸡蛋,雞蛋,jīdàn,chicken egg,2
noun,93,牛奶,牛奶,niúnǎi,milk,2
noun,94,咖啡,咖啡,kāfēi,coffee,2
noun,95,鱼,魚,yú,fish,2
noun,96,羊肉,羊肉,yángròu,mutton / lamb,2
noun,97,牛肉,牛肉,niúròu,beef,2
noun,98,鸡肉,雞肉,jīròu,chicken (meat),2
noun,99,西瓜,西瓜,xīguā,watermelon,2
noun,100,钱,錢,qián,money,2
noun,101,报纸,報紙,bàozhǐ,newspaper,2
noun,102,题,題,tí,topic / question,2
noun,103,问题,問題,wèntí,question / problem,2
noun,104,事情,事情,shìqíng,matter / affair,2
noun,105,东西,東西,dōngxi,thing / object,2
noun,106,礼物,禮物,lǐwù,gift / present,2
noun,107,票,票,piào,ticket,2
noun,108,信,信,xìn,letter,2
noun,109,方便面,方便麵,fāngbiànmiàn,instant noodles,2
noun,110,菜单,菜單,càidān,menu,3
noun,111,音乐,音樂,yīnyuè,music,3
noun,112,电影,電影,diànyǐng,movie / film,3
noun,113,节目,節目,jiémù,program (TV),3
noun,114,故事,故事,gùshi,story,3
noun,115,新闻,新聞,xīnwén,news,3
noun,116,世界,世界,shìjiè,world,3
noun,117,国家,國家,guójiā,country / state,3
noun,118,城市,城市,chéngshì,city,3
noun,119,地方,地方,dìfang,place / area,3
noun,120,地图,地圖,dìtú,map,3
noun,121,河,河,hé,river,3
noun,122,山,山,shān,mountain,3
noun,123,太阳,太陽,tàiyáng,sun,3
noun,124,月亮,月亮,yuèliang,moon,3
noun,125,天气,天氣,tiānqì,weather,3
noun,126,雨,雨,yǔ,rain,3
noun,127,雪,雪,xuě,snow,3
noun,128,风,風,fēng,wind,3
noun,129,花,花,huā,flower,3
noun,130,草,草,cǎo,grass,3
noun,131,树,樹,shù,tree,3
noun,132,鸟,鳥,niǎo,bird,3
noun,133,马,馬,mǎ,horse,3
noun,134,熊猫,熊貓,xióngmāo,panda,3
noun,135,动物,動物,dòngwù,animal,3
noun,136,植物,植物,zhíwù,plant,3
noun,137,颜色,顏色,yánsè,color,3
noun,138,声音,聲音,shēngyīn,sound / voice,3
noun,139,句子,句子,jùzi,sentence,3
noun,140,语法,語法,yǔfǎ,grammar,3
noun,141,词语,詞語,cíyǔ,word / phrase,3
noun,142,意思,意思,yìsi,meaning,3
noun,143,成绩,成績,chéngjì,grade / result,3
noun,144,考试,考試,kǎoshì,exam / test,3
noun,145,作业,作業,zuòyè,homework,3
noun,146,练习,練習,liànxí,practice / exercise,3
noun,147,笔记,筆記,bǐjì,notes,3
noun,148,笔,筆,bǐ,pen / brush,3
noun,149,铅笔,鉛筆,qiānbǐ,pencil,3
noun,150,黑板,黑板,hēibǎn,blackboard,3
noun,151,图书馆,圖書館,túshūguǎn,library,3
noun,152,字典,字典,zìdiǎn,dictionary,3
noun,153,邮局,郵局,yóujú,post office,3
noun,154,银行,銀行,yínháng,bank,3
noun,155,洗手间,洗手間,xǐshǒujiān,restroom,3
noun,156,厨房,廚房,chúfáng,kitchen,3
noun,157,卧室,臥室,wòshì,bedroom,3
noun,158,客厅,客廳,kètīng,living room,3
noun,159,楼,樓,lóu,building / floor,3
noun,160,电梯,電梯,diàntī,elevator,3
noun,161,窗户,窗戶,chuānghu,window,3
noun,162,床,床,chuáng,bed,3
noun,163,盘子,盤子,pánzi,plate / dish,3
noun,164,碗,碗,wǎn,bowl,3
noun,165,筷子,筷子,kuàizi,chopsticks,3
noun,166,勺子,勺子,sháozi,spoon,3
noun,167,刀,刀,dāo,knife,3
noun,168,杯子,杯子,bēizi,cup / glass,3
noun,169,瓶子,瓶子,píngzi,bottle,3
noun,170,箱子,箱子,xiāngzi,box / case,3
noun,171,行李箱,行李箱,xínglixiāng,suitcase,3
noun,172,包,包,bāo,bag / package,3
noun,173,护照,護照,hùzhào,passport,3
noun,174,信用卡,信用卡,xìnyòngkǎ,credit card,3
noun,175,电子邮件,電子郵件,diànzǐ yóujiàn,email,3
noun,176,网站,網站,wǎngzhàn,website,3
noun,177,互联网,互聯網,hùliánwǎng,internet,3
noun,178,网络,網絡,wǎngluò,network,3
noun,179,信息,信息,xìnxī,information,3
noun,180,消息,消息,xiāoxi,news / message,3
noun,181,会议,會議,huìyì,meeting / conference,3
noun,182,办公室,辦公室,bàngōngshì,office,3
noun,183,经理,經理,jīnglǐ,manager,3
noun,184,同事,同事,tóngshì,colleague,3
noun,185,客人,客人,kèrén,guest / customer,3
noun,186,服务员,服務員,fúwùyuán,waiter / attendant,3
noun,187,警察,警察,jǐngchá,police officer,3
noun,188,护士,護士,hùshi,nurse,3
noun,189,司机,司機,sījī,driver,3
noun,190,演员,演員,yǎnyuán,actor,3
noun,191,邻居,鄰居,línjū,neighbor,3
noun,192,阿姨,阿姨,āyí,aunt / auntie,3
noun,193,叔叔,叔叔,shūshu,uncle (father's younger brother),3
noun,194,爷爷,爺爺,yéye,grandfather (paternal),3
noun,195,奶奶,奶奶,nǎinai,grandmother (paternal),3
noun,196,父亲,父親,fùqīn,father (formal),3
noun,197,母亲,母親,mǔqīn,mother (formal),3
noun,198,丈夫,丈夫,zhàngfu,husband,3
noun,199,妻子,妻子,qīzi,wife,3
noun,200,爱人,愛人,àirén,spouse / lover,3
noun,201,感觉,感覺,gǎnjué,feeling,3
noun,202,心情,心情,xīnqíng,mood / feeling,3
noun,203,兴趣,興趣,xìngqù,interest,3
noun,204,爱好,愛好,àihào,hobby,3
noun,205,梦,夢,mèng,dream,3
noun,206,想法,想法,xiǎngfa,idea / thought,3
noun,207,办法,辦法,bànfǎ,method / way,3
noun,208,方法,方法,fāngfǎ,method,3
noun,209,原因,原因,yuányīn,reason / cause,3
noun,210,结果,結果,jiéguǒ,result,3
noun,211,机会,機會,jīhuì,opportunity,3
noun,212,希望,希望,xīwàng,hope,3
noun,213,计划,計劃,jìhuà,plan,3
noun,214,目的,目的,mùdì,purpose / aim,3
noun,215,经验,經驗,jīngyàn,experience,3
noun,216,水平,水平,shuǐpíng,level / standard,3
noun,217,能力,能力,nénglì,ability,3
noun,218,关系,關係,guānxì,relationship / connection,3
noun,219,影响,影響,yǐngxiǎng,influence / effect,4
noun,220,规定,規定,guīdìng,rule / regulation,4
noun,221,要求,要求,yāoqiú,requirement / demand,4
noun,222,条件,條件,tiáojiàn,condition,4
noun,223,标准,標準,biāozhǔn,standard / criterion,4
noun,224,质量,質量,zhìliàng,quality,4
noun,225,数量,數量,shùliàng,quantity,4
noun,226,价格,價格,jiàgé,price,4
noun,227,市场,市場,shìchǎng,market,4
noun,228,经济,經濟,jīngjì,economy,4
noun,229,生意,生意,shēngyi,business,4
noun,230,生活,生活,shēnghuó,life / living,3
noun,231,环境,環境,huánjìng,environment,4
noun,232,空气,空氣,kōngqì,air,4
noun,233,污染,污染,wūrǎn,pollution,4
noun,234,垃圾,垃圾,lājī,garbage / trash,4
noun,235,塑料,塑料,sùliào,plastic,5
noun,236,玻璃,玻璃,bōli,glass,4
noun,237,木头,木頭,mùtou,wood,4
noun,238,石头,石頭,shítou,stone,4
noun,239,铁,鐵,tiě,iron,5
noun,240,金,金,jīn,gold / metal,4
noun,241,银,銀,yín,silver,5
noun,242,布,布,bù,cloth / fabric,4
noun,243,纸,紙,zhǐ,paper,4
noun,244,烟,煙,yān,smoke / cigarette,4
noun,245,火,火,huǒ,fire,3
noun,246,光,光,guāng,light,4
noun,247,影子,影子,yǐngzi,shadow,4
noun,248,空间,空間,kōngjiān,space / room,4
noun,249,距离,距離,jùlí,distance,4
noun,250,方向,方向,fāngxiàng,direction,4
noun,251,北方,北方,běifāng,north,4
noun,252,南方,南方,nánfāng,south,4
noun,253,东方,東方,dōngfāng,east,4
noun,254,西方,西方,xīfāng,west,4
noun,255,中间,中間,zhōngjiān,middle,4
noun,256,旁边,旁邊,pángbiān,side / next to,3
noun,257,前面,前面,qiánmiàn,front / ahead,2
noun,258,后面,後面,hòumiàn,back / behind,2
noun,259,上面,上面,shàngmiàn,top / above,2
noun,260,下面,下面,xiàmiàn,bottom / below,2
noun,261,里面,裡面,lǐmiàn,inside,2
noun,262,外面,外面,wàimiàn,outside,3
noun,263,左边,左邊,zuǒbiān,left side,2
noun,264,右边,右邊,yòubiān,right side,2
noun,265,对面,對面,duìmiàn,opposite side,4
noun,266,附近,附近,fùjìn,vicinity / nearby,3
noun,267,周围,周圍,zhōuwéi,surroundings,4
noun,268,邮件,郵件,yóujiàn,mail / post,4
noun,269,包裹,包裹,bāoguǒ,package,5
noun,270,礼物,禮物,lǐwù,gift,3
noun,271,红包,紅包,hóngbāo,red envelope (money gift),5
noun,272,春节,春節,Chūnjié,Spring Festival,4
noun,273,中秋节,中秋節,Zhōngqiūjié,Mid-Autumn Festival,4
noun,274,端午节,端午節,Duānwǔjié,Dragon Boat Festival,5
noun,275,国庆节,國慶節,Guóqìngjié,National Day,5
noun,276,元旦,元旦,Yuándàn,New Year's Day,5
noun,277,圣诞节,聖誕節,Shèngdànjié,Christmas,5
noun,278,假期,假期,jiàqī,vacation / holiday,4
noun,279,周末,週末,zhōumò,weekend,3
noun,280,时间,時間,shíjiān,time,2
noun,281,日期,日期,rìqī,date,4
noun,282,过去,過去,guòqù,past,4
noun,283,未来,未來,wèilái,future,4
noun,284,童年,童年,tóngnián,childhood,5
noun,285,青年,青年,qīngnián,youth (age),5
noun,286,中年,中年,zhōngnián,middle age,5
noun,287,老年,老年,lǎonián,old age,5
noun,288,年龄,年齡,niánlíng,age,4
noun,289,性别,性別,xìngbié,gender,5
noun,290,民族,民族,mínzú,ethnic group / nation,5
noun,291,文化,文化,wénhuà,culture,4
noun,292,历史,歷史,lìshǐ,history,4
noun,293,传统,傳統,chuántǒng,tradition,5
noun,294,艺术,藝術,yìshù,art,4
noun,295,文学,文學,wénxué,literature,5
noun,296,小说,小說,xiǎoshuō,novel,4
noun,297,诗,詩,shī,poem / poetry,5
noun,298,画,畫,huà,picture / painting,3
noun,299,照片,照片,zhàopiàn,photograph,3
noun,300,相机,相機,xiàngjī,camera,4
noun,301,镜子,鏡子,jìngzi,mirror,4
noun,302,眼镜,眼鏡,yǎnjìng,glasses / spectacles,3
noun,303,帽子,帽子,màozi,hat / cap,3
noun,304,鞋,鞋,xié,shoes,3
noun,305,袜子,襪子,wàzi,socks,4
noun,306,裤子,褲子,kùzi,pants / trousers,3
noun,307,裙子,裙子,qúnzi,skirt,3
noun,308,衬衫,襯衫,chènshān,shirt,3
noun,309,外套,外套,wàitào,coat / jacket,3
noun,310,毛衣,毛衣,máoyī,sweater,4
noun,311,手表,手錶,shǒubiǎo,wristwatch,3
noun,312,钟,鐘,zhōng,clock,3
noun,313,戒指,戒指,jièzhi,ring (finger),5
noun,314,项链,項鏈,xiàngliàn,necklace,5
noun,315,耳环,耳環,ěrhuán,earring,5
noun,316,钱包,錢包,qiánbāo,wallet,4
noun,317,钥匙,鑰匙,yàoshi,key,4
noun,318,锁,鎖,suǒ,lock,5
noun,319,垃圾桶,垃圾桶,lājītǒng,trash can,5
noun,320,空调,空調,kōngtiáo,air conditioner,4
noun,321,冰箱,冰箱,bīngxiāng,refrigerator,4
noun,322,洗衣机,洗衣機,xǐyījī,washing machine,4
noun,323,微波炉,微波爐,wēibōlú,microwave oven,5
noun,324,烤箱,烤箱,kǎoxiāng,oven,5
noun,325,灯,燈,dēng,lamp / light,3
noun,326,沙发,沙發,shāfā,sofa / couch,4
noun,327,地毯,地毯,dìtǎn,carpet / rug,5
noun,328,窗帘,窗簾,chuānglián,curtain,5
noun,329,楼梯,樓梯,lóutī,staircase,5
noun,330,阳台,陽台,yángtái,balcony,5
noun,331,花园,花園,huāyuán,garden,5
noun,332,院子,院子,yuànzi,courtyard / yard,5
noun,333,农村,農村,nóngcūn,countryside / village,5
noun,334,城镇,城鎮,chéngzhèn,town,6
noun,335,省,省,shěng,province,4
noun,336,首都,首都,shǒudū,capital city,5
noun,337,政府,政府,zhèngfǔ,government,5
noun,338,总统,總統,zǒngtǒng,president,5
noun,339,总理,總理,zǒnglǐ,premier / prime minister,5
noun,340,领导,領導,lǐngdǎo,leader / leadership,5
noun,341,政治,政治,zhèngzhì,politics,5
noun,342,法律,法律,fǎlǜ,law,5
noun,343,律师,律師,lǜshī,lawyer,5
noun,344,法院,法院,fǎyuàn,court of law,5
noun,345,军队,軍隊,jūnduì,army / military,5
noun,346,士兵,士兵,shìbīng,soldier,5
noun,347,战争,戰爭,zhànzhēng,war,5
noun,348,和平,和平,hépíng,peace,5
noun,349,宗教,宗教,zōngjiào,religion,5
noun,350,信仰,信仰,xìnyǎng,faith / belief,5
noun,351,哲学,哲學,zhéxué,philosophy,5
noun,352,科学,科學,kēxué,science,4
noun,353,科学家,科學家,kēxuéjiā,scientist,5
noun,354,数学,數學,shùxué,mathematics,3
noun,355,物理,物理,wùlǐ,physics,5
noun,356,化学,化學,huàxué,chemistry,5
noun,357,生物,生物,shēngwù,biology,5
noun,358,技术,技術,jìshù,technology,4
noun,359,工程师,工程師,gōngchéngshī,engineer,5
noun,360,软件,軟件,ruǎnjiàn,software,5
noun,361,硬件,硬件,yìngjiàn,hardware,6
noun,362,程序,程序,chéngxù,program / procedure,5
noun,363,数据,數據,shùjù,data,5
noun,364,系统,系統,xìtǒng,system,5
noun,365,机器,機器,jīqì,machine,5
noun,366,机器人,機器人,jīqìrén,robot,5
noun,367,工具,工具,gōngjù,tool,5
noun,368,材料,材料,cáiliào,material,4
noun,369,能源,能源,néngyuán,energy source,5
noun,370,电,電,diàn,electricity,3
noun,371,石油,石油,shíyóu,petroleum,5
noun,372,天然气,天然氣,tiānránqì,natural gas,6
noun,373,农业,農業,nóngyè,agriculture,5
noun,374,工业,工業,gōngyè,industry,5
noun,375,商业,商業,shāngyè,commerce / business,5
noun,376,服务,服務,fúwù,service,4
noun,377,产品,產品,chǎnpǐn,product,4
noun,378,商品,商品,shāngpǐn,goods / commodity,5
noun,379,广告,廣告,guǎnggào,advertisement,4
noun,380,品牌,品牌,pǐnpái,brand,5
noun,381,质检,質檢,zhìjiǎn,quality check,6
noun,382,工厂,工廠,gōngchǎng,factory,5
noun,383,工人,工人,gōngrén,worker,5
noun,384,农民,農民,nóngmín,farmer / peasant,5
noun,385,职业,職業,zhíyè,profession / occupation,5
noun,386,职员,職員,zhíyuán,staff / employee,5
noun,387,行业,行業,hángyè,industry / trade,5
noun,388,行动,行動,xíngdòng,action / operation,5
noun,389,活动,活動,huódòng,activity / event,4
noun,390,运动,運動,yùndòng,sports / exercise,2
noun,391,比赛,比賽,bǐsài,competition / match,3
noun,392,球,球,qiú,ball,3
noun,393,足球,足球,zúqiú,soccer / football,3
noun,394,篮球,籃球,lánqiú,basketball,3
noun,395,网球,網球,wǎngqiú,tennis,5
noun,396,乒乓球,乒乓球,pīngpāngqiú,table tennis,4
noun,397,游泳,游泳,yóuyǒng,swimming,3
noun,398,跑步,跑步,pǎobù,running / jogging,3
noun,399,健身,健身,jiànshēn,fitness / working out,5
noun,400,健康,健康,jiànkāng,health,3
noun,401,病,病,bìng,illness,3
noun,402,感冒,感冒,gǎnmào,cold (illness),3
noun,403,发烧,發燒,fāshāo,fever,3
noun,404,头疼,頭疼,tóuténg,headache,4
noun,405,肚子疼,肚子疼,dùzi téng,stomachache,4
noun,406,药,藥,yào,medicine / drug,2
noun,407,血,血,xuè,blood,4
noun,408,骨头,骨頭,gǔtou,bone,4
noun,409,心,心,xīn,heart / mind,3
noun,410,脑,腦,nǎo,brain,5
noun,411,肺,肺,fèi,lung,6
noun,412,胃,胃,wèi,stomach,5
noun,413,肝,肝,gān,liver,6
noun,414,皮肤,皮膚,pífū,skin,5
noun,415,肌肉,肌肉,jīròu,muscle,6
noun,416,腿,腿,tuǐ,leg,3
noun,417,脚,腳,jiǎo,foot,3
noun,418,肩膀,肩膀,jiānbǎng,shoulder,4
noun,419,脖子,脖子,bózi,neck,4
noun,420,胳膊,胳膊,gēbo,arm,4
noun,421,肚子,肚子,dùzi,belly,4
noun,422,背,背,bèi,back,5
noun,423,腰,腰,yāo,waist,5
noun,424,牙,牙,yá,tooth,4
noun,425,嘴唇,嘴唇,zuǐchún,lips,5
noun,426,舌头,舌頭,shétou,tongue,6
noun,427,动作,動作,dòngzuò,movement / action,5
noun,428,表情,表情,biǎoqíng,facial expression,5
noun,429,态度,態度,tàidu,attitude,4
noun,430,性格,性格,xìnggé,personality,4
noun,431,印象,印象,yìnxiàng,impression,4
noun,432,信心,信心,xìnxīn,confidence,4
noun,433,勇气,勇氣,yǒngqì,courage,5
noun,434,耐心,耐心,nàixīn,patience,4
noun,435,智慧,智慧,zhìhuì,wisdom,5
noun,436,知识,知識,zhīshi,knowledge,4
noun,437,能量,能量,néngliàng,energy,5
noun,438,力量,力量,lìliàng,power / strength,5
noun,439,精神,精神,jīngshén,spirit / mind,4
noun,440,灵魂,靈魂,línghún,soul,6
noun,441,感情,感情,gǎnqíng,emotion / affection,4
noun,442,爱情,愛情,àiqíng,romantic love,4
noun,443,友谊,友誼,yǒuyì,friendship,5
noun,444,婚礼,婚禮,hūnlǐ,wedding,5
noun,445,葬礼,葬禮,zànglǐ,funeral,6
noun,446,典礼,典禮,diǎnlǐ,ceremony,6
noun,447,仪式,儀式,yíshì,ritual,6
noun,448,节日,節日,jiérì,festival / holiday,3
noun,449,聚会,聚會,jùhuì,gathering / party,4
noun,450,宴会,宴會,yànhuì,banquet,6
noun,451,演出,演出,yǎnchū,performance,5
noun,452,演讲,演講,yǎnjiǎng,speech / lecture,5
noun,453,展览,展覽,zhǎnlǎn,exhibition,5
noun,454,博物馆,博物館,bówùguǎn,museum,3
noun,455,剧场,劇場,jùchǎng,theater,6
noun,456,戏剧,戲劇,xìjù,drama,6
noun,457,歌曲,歌曲,gēqǔ,song,5
noun,458,歌手,歌手,gēshǒu,singer,5
noun,459,乐队,樂隊,yuèduì,band,6
noun,460,乐器,樂器,yuèqì,musical instrument,6
noun,461,钢琴,鋼琴,gāngqín,piano,4
noun,462,吉他,吉他,jítā,guitar,5
noun,463,鼓,鼓,gǔ,drum,6
noun,464,小提琴,小提琴,xiǎotíqín,violin,6
noun,465,舞蹈,舞蹈,wǔdǎo,dance,5
noun,466,画家,畫家,huàjiā,painter,5
noun,467,作家,作家,zuòjiā,writer / author,5
noun,468,记者,記者,jìzhě,reporter / journalist,4
noun,469,导游,導遊,dǎoyóu,tour guide,4
noun,470,旅行,旅行,lǚxíng,travel / trip,3
noun,471,旅游,旅遊,lǚyóu,tourism,3
noun,472,游客,遊客,yóukè,tourist / visitor,5
noun,473,风景,風景,fēngjǐng,scenery,4
noun,474,景点,景點,jǐngdiǎn,scenic spot,5
noun,475,湖,湖,hú,lake,4
noun,476,海,海,hǎi,sea,3
noun,477,岛,島,dǎo,island,4
noun,478,海滩,海灘,hǎitān,beach,5
noun,479,森林,森林,sēnlín,forest,4
noun,480,沙漠,沙漠,shāmò,desert,5
noun,481,平原,平原,píngyuán,plain (topography),6
noun,482,大自然,大自然,dàzìrán,nature (Mother),5
noun,483,污水,污水,wūshuǐ,sewage / wastewater,6
noun,484,湿度,濕度,shīdù,humidity,6
noun,485,温度,溫度,wēndù,temperature,4
noun,486,气温,氣溫,qìwēn,air temperature,5
noun,487,季节,季節,jìjié,season,4
noun,488,春天,春天,chūntiān,spring (season),2
noun,489,夏天,夏天,xiàtiān,summer,2
noun,490,秋天,秋天,qiūtiān,autumn / fall,2
noun,491,冬天,冬天,dōngtiān,winter,2
noun,492,云,雲,yún,cloud,4
noun,493,彩虹,彩虹,cǎihóng,rainbow,6
noun,494,闪电,閃電,shǎndiàn,lightning,6
noun,495,雷,雷,léi,thunder,6
noun,496,暴风雨,暴風雨,bàofēngyǔ,storm,6
noun,497,台风,颱風,táifēng,typhoon,6
noun,498,地震,地震,dìzhèn,earthquake,6
noun,499,洪水,洪水,hóngshuǐ,flood,6
noun,500,危险,危險,wēixiǎn,danger,4
verb,1,是,是,shì,to be,1
verb,2,有,有,yǒu,to have / there is,1
verb,3,没有,沒有,méiyǒu,to not have,1
verb,4,在,在,zài,to be at / located,1
verb,5,去,去,qù,to go,1
verb,6,来,來,lái,to come,1
verb,7,说,說,shuō,to speak / say,1
verb,8,说话,說話,shuōhuà,to talk,1
verb,9,看,看,kàn,to look at / watch,1
verb,10,听,聽,tīng,to listen / hear,1
verb,11,读,讀,dú,to read,1
verb,12,写,寫,xiě,to write,1
verb,13,学,學,xué,to study,1
verb,14,学习,學習,xuéxí,to study / learn,1
verb,15,教,教,jiāo,to teach,1
verb,16,认识,認識,rènshi,to know (someone),1
verb,17,知道,知道,zhīdào,to know (a fact),1
verb,18,想,想,xiǎng,to want / think,1
verb,19,要,要,yào,to want / need,1
verb,20,喜欢,喜歡,xǐhuan,to like,1
verb,21,爱,愛,ài,to love,1
verb,22,吃,吃,chī,to eat,1
verb,23,喝,喝,hē,to drink,1
verb,24,买,買,mǎi,to buy,1
verb,25,卖,賣,mài,to sell,2
verb,26,做,做,zuò,to do / make,1
verb,27,干,幹,gàn,to do (colloquial),3
verb,28,坐,坐,zuò,to sit,1
verb,29,站,站,zhàn,to stand,3
verb,30,走,走,zǒu,to walk / leave,1
verb,31,跑,跑,pǎo,to run,2
verb,32,开,開,kāi,to open / start,1
verb,33,关,關,guān,to close / turn off,3
verb,34,给,給,gěi,to give,1
verb,35,拿,拿,ná,to take / hold,3
verb,36,找,找,zhǎo,to look for,2
verb,37,等,等,děng,to wait,2
verb,38,玩,玩,wán,to play,2
verb,39,笑,笑,xiào,to laugh / smile,2
verb,40,哭,哭,kū,to cry,3
verb,41,唱,唱,chàng,to sing,2
verb,42,跳,跳,tiào,to jump / dance,2
verb,43,睡,睡,shuì,to sleep,1
verb,44,睡觉,睡覺,shuìjiào,to sleep / go to bed,1
verb,45,起,起,qǐ,to rise / get up,2
verb,46,起床,起床,qǐchuáng,to get out of bed,2
verb,47,回,回,huí,to return / go back,1
verb,48,回来,回來,huílái,to come back,2
verb,49,回去,回去,huíqù,to go back,2
verb,50,到,到,dào,to arrive / reach,2
verb,51,穿,穿,chuān,to wear / put on,2
verb,52,脱,脫,tuō,to take off (clothes),4
verb,53,洗,洗,xǐ,to wash,2
verb,54,刷,刷,shuā,to brush,4
verb,55,说话,說話,shuōhuà,to speak,1
verb,56,告诉,告訴,gàosù,to tell,2
verb,57,问,問,wèn,to ask,2
verb,58,回答,回答,huídá,to answer / reply,2
verb,59,解释,解釋,jiěshì,to explain,4
verb,60,懂,懂,dǒng,to understand,2
verb,61,明白,明白,míngbái,to understand,3
verb,62,忘,忘,wàng,to forget,3
verb,63,记,記,jì,to remember / record,3
verb,64,记得,記得,jìde,to remember,3
verb,65,认为,認為,rènwéi,to think / consider,3
verb,66,觉得,覺得,juéde,to feel / think,2
verb,67,需要,需要,xūyào,to need,3
verb,68,希望,希望,xīwàng,to hope,3
verb,69,决定,決定,juédìng,to decide,3
verb,70,选择,選擇,xuǎnzé,to choose,4
verb,71,参加,參加,cānjiā,to participate / join,3
verb,72,帮忙,幫忙,bāngmáng,to help,3
verb,73,帮助,幫助,bāngzhù,to help,2
verb,74,介绍,介紹,jièshào,to introduce,2
verb,75,见,見,jiàn,to see / meet,2
verb,76,见面,見面,jiànmiàn,to meet / see,3
verb,77,离开,離開,líkāi,to leave / depart,3
verb,78,送,送,sòng,to send / see off / give,2
verb,79,寄,寄,jì,to mail / send,5
verb,80,发,發,fā,to send out / issue,3
