POS,Rank,Simplified,Traditional,Pinyin,English,HSK
noun,51,下午,下午,xiàwǔ,afternoon,2
noun,52,晚上,晚上,wǎnshang,evening / night,2
noun,53,时候,時候,shíhou,time / moment,2
noun,54,小时,小時,xiǎoshí,hour,2
noun,55,分钟,分鐘,fēnzhōng,minute,2
noun,56,生日,生日,shēngrì,birthday,2
noun,57,哥哥,哥哥,gēge,older brother,2
noun,58,姐姐,姐姐,jiějie,older sister,2
noun,59,弟弟,弟弟,dìdi,younger brother,2
noun,60,妹妹,妹妹,mèimei,younger sister,2
noun,61,孩子,孩子,háizi,child,2
noun,62,男人,男人,nánrén,man,2
noun,63,女人,女人,nǚrén,woman,2
noun,64,男孩,男孩,nánhái,boy,2
noun,65,女孩,女孩,nǚhái,girl,2
noun,66,公司,公司,gōngsī,company,2
noun,67,工作,工作,gōngzuò,work / job,2
noun,68,教室,教室,jiàoshì,classroom,2
noun,69,房间,房間,fángjiān,room,2
noun,70,门,門,mén,door / gate,2
noun,71,路,路,lù,road / way,2
noun,72,公共汽车,公共汽車,gōnggòng qìchē,bus,2
noun,73,火车,火車,huǒchē,train,2
noun,74,船,船,chuán,boat / ship,2
noun,75,自行车,自行車,zìxíngchē,bicycle,2
noun,76,宾馆,賓館,bīnguǎn,hotel,2
noun,77,饭店,飯店,fàndiàn,restaurant / hotel,2
noun,78,医院,醫院,yīyuàn,hospital,2
noun,79,商店,商店,shāngdiàn,shop / store,2
noun,80,机场,機場,jīchǎng,airport,2
noun,81,火车站,火車站,huǒchēzhàn,train station,2
noun,82,公园,公園,gōngyuán,park,2
noun,83,眼睛,眼睛,yǎnjing,eye,2
noun,84,鼻子,鼻子,bízi,nose,2
noun,85,嘴,嘴,zuǐ,mouth,2
noun,86,耳朵,耳朵,ěrduo,ear,2
noun,87,手,手,shǒu,hand,2
noun,88,身体,身體,shēntǐ,body,2
noun,89,头发,頭髮,tóufa,hair (on head),2
noun,90,衣服,衣服,yīfu,clothes,2
noun,91,面包,麵包,miànbāo,bread,2
noun,92,鸡蛋,雞蛋,jīdàn,chicken egg,2
noun,93,牛奶,牛奶,niúnǎi,milk,2
noun,94,咖啡,咖啡,kāfēi,coffee,2
noun,95,鱼,魚,yú,fish,2
noun,96,羊肉,羊肉,yángròu,mutton / lamb,2
noun,97,牛肉,牛肉,niúròu,beef,2
noun,98,鸡肉,雞肉,jīròu,chicken (meat),2
noun,99,西瓜,西瓜,xīguā,watermelon,2
noun,100,钱,錢,qián,money,2
noun,101,报纸,報紙,bàozhǐ,newspaper,2
noun,102,题,題,tí,topic / question,2
noun,103,问题,問題,wèntí,question / problem,2
noun,104,事情,事情,shìqíng,matter / affair,2
noun,105,东西,東西,dōngxi,thing / object,2
noun,106,礼物,禮物,lǐwù,gift / present,2
noun,107,票,票,piào,ticket,2
noun,108,信,信,xìn,letter,2
noun,109,方便面,方便麵,fāngbiànmiàn,instant noodles,2
noun,110,菜单,菜單,càidān,menu,3
noun,111,音乐,音樂,yīnyuè,music,3
noun,112,电影,電影,diànyǐng,movie / film,3
noun,113,节目,節目,jiémù,program (TV),3
noun,114,故事,故事,gùshi,story,3
noun,115,新闻,新聞,xīnwén,news,3
noun,116,世界,世界,shìjiè,world,3
noun,117,国家,國家,guójiā,country / state,3
noun,118,城市,城市,chéngshì,city,3
noun,119,地方,地方,dìfang,place / area,3
noun,120,地图,地圖,dìtú,map,3
noun,121,河,河,hé,river,3
noun,122,山,山,shān,mountain,3
noun,123,太阳,太陽,tàiyáng,sun,3
noun,124,月亮,月亮,yuèliang,moon,3
noun,125,天气,天氣,tiānqì,weather,3
noun,126,雨,雨,yǔ,rain,3
noun,127,雪,雪,xuě,snow,3
noun,128,风,風,fēng,wind,3
noun,129,花,花,huā,flower,3
noun,130,草,草,cǎo,grass,3
noun,131,树,樹,shù,tree,3
noun,132,鸟,鳥,niǎo,bird,3
noun,133,马,馬,mǎ,horse,3
noun,134,熊猫,熊貓,xióngmāo,panda,3
noun,135,动物,動物,dòngwù,animal,3
noun,136,植物,植物,zhíwù,plant,3
noun,137,颜色,顏色,yánsè,color,3
noun,138,声音,聲音,shēngyīn,sound / voice,3
noun,139,句子,句子,jùzi,sentence,3
noun,140,语法,語法,yǔfǎ,grammar,3
noun,141,词语,詞語,cíyǔ,word / phrase,3
noun,142,意思,意思,yìsi,meaning,3
noun,143,成绩,成績,chéngjì,grade / result,3
noun,144,考试,考試,kǎoshì,exam / test,3
noun,145,作业,作業,zuòyè,homework,3
noun,146,练习,練習,liànxí,practice / exercise,3
noun,147,笔记,筆記,bǐjì,notes,3
noun,148,笔,筆,bǐ,pen / brush,3
noun,149,铅笔,鉛筆,qiānbǐ,pencil,3
noun,150,黑板,黑板,hēibǎn,blackboard,3
noun,151,图书馆,圖書館,túshūguǎn,library,3
noun,152,字典,字典,zìdiǎn,dictionary,3
noun,153,邮局,郵局,yóujú,post office,3
noun,154,银行,銀行,yínháng,bank,3
noun,155,洗手间,洗手間,xǐshǒujiān,restroom,3
noun,156,厨房,廚房,chúfáng,kitchen,3
noun,157,卧室,臥室,wòshì,bedroom,3
noun,158,客厅,客廳,kètīng,living room,3
noun,159,楼,樓,lóu,building / floor,3
noun,160,电梯,電梯,diàntī,elevator,3
noun,161,窗户,窗戶,chuānghu,window,3
noun,162,床,床,chuáng,bed,3
noun,163,盘子,盤子,pánzi,plate / dish,3
noun,164,碗,碗,wǎn,bowl,3
noun,165,筷子,筷子,kuàizi,chopsticks,3
noun,166,勺子,勺子,sháozi,spoon,3
noun,167,刀,刀,dāo,knife,3
noun,168,杯子,杯子,bēizi,cup / glass,3
noun,169,瓶子,瓶子,píngzi,bottle,3
noun,170,箱子,箱子,xiāngzi,box / case,3
noun,171,行李箱,行李箱,xínglixiāng,suitcase,3
noun,172,包,包,bāo,bag / package,3
noun,173,护照,護照,hùzhào,passport,3
noun,174,信用卡,信用卡,xìnyòngkǎ,credit card,3
noun,175,电子邮件,電子郵件,diànzǐ yóujiàn,email,3
noun,176,网站,網站,wǎngzhàn,website,3
noun,177,互联网,互聯網,hùliánwǎng,internet,3
noun,178,网络,網絡,wǎngluò,network,3
noun,179,信息,信息,xìnxī,information,3
noun,180,消息,消息,xiāoxi,news / message,3
noun,181,会议,會議,huìyì,meeting / conference,3
noun,182,办公室,辦公室,bàngōngshì,office,3
noun,183,经理,經理,jīnglǐ,manager,3
noun,184,同事,同事,tóngshì,colleague,3
noun,185,客人,客人,kèrén,guest / customer,3
noun,186,服务员,服務員,fúwùyuán,waiter / attendant,3
noun,187,警察,警察,jǐngchá,police officer,3
noun,188,护士,護士,hùshi,nurse,3
noun,189,司机,司機,sījī,driver,3
noun,190,演员,演員,yǎnyuán,actor,3
noun,191,邻居,鄰居,línjū,neighbor,3
noun,192,阿姨,阿姨,āyí,aunt / auntie,3
noun,193,叔叔,叔叔,shūshu,uncle (father's younger brother),3
noun,194,爷爷,爺爺,yéye,grandfather (paternal),3
noun,195,奶奶,奶奶,nǎinai,grandmother (paternal),3
noun,196,父亲,父親,fùqīn,father (formal),3
noun,197,母亲,母親,mǔqīn,mother (formal),3
noun,198,丈夫,丈夫,zhàngfu,husband,3
noun,199,妻子,妻子,qīzi,wife,3
noun,200,爱人,愛人,àirén,spouse / lover,3
verb,1,是,是,shì,to be,1
verb,2,有,有,yǒu,to have / there is,1
verb,3,没有,沒有,méiyǒu,to not have,1
verb,4,在,在,zài,to be at / located,1
verb,5,去,去,qù,to go,1
verb,6,来,來,lái,to come,1
verb,7,说,說,shuō,to speak / say,1
verb,8,说话,說話,shuōhuà,to talk,1
verb,9,看,看,kàn,to look at / watch,1
verb,10,听,聽,tīng,to listen / hear,1
verb,11,读,讀,dú,to read,1
verb,12,写,寫,xiě,to write,1
verb,13,学,學,xué,to study,1
verb,14,学习,學習,xuéxí,to study / learn,1
verb,15,教,教,jiāo,to teach,1
verb,16,认识,認識,rènshi,to know (someone),1
verb,17,知道,知道,zhīdào,to know (a fact),1
verb,18,想,想,xiǎng,to want / think,1
verb,19,要,要,yào,to want / need,1
verb,20,喜欢,喜歡,xǐhuan,to like,1
verb,21,爱,愛,ài,to love,1
verb,22,吃,吃,chī,to eat,1
verb,23,喝,喝,hē,to drink,1
verb,24,买,買,mǎi,to buy,1
verb,25,卖,賣,mài,to sell,2
verb,26,做,做,zuò,to do / make,1
verb,27,干,幹,gàn,to do (colloquial),3
verb,28,坐,坐,zuò,to sit,1
verb,29,站,站,zhàn,to stand,3
verb,30,走,走,zǒu,to walk / leave,1
verb,31,跑,跑,pǎo,to run,2
verb,32,开,開,kāi,to open / start,1
verb,33,关,關,guān,to close / turn off,3
verb,34,给,給,gěi,to give,1
verb,35,拿,拿,ná,to take / hold,3
verb,36,找,找,zhǎo,to look for,2
verb,37,等,等,děng,to wait,2
verb,38,玩,玩,wán,to play,2
verb,39,笑,笑,xiào,to laugh / smile,2
verb,40,哭,哭,kū,to cry,3
verb,41,唱,唱,chàng,to sing,2
verb,42,跳,跳,tiào,to jump / dance,2
verb,43,睡,睡,shuì,to sleep,1
verb,44,睡觉,睡覺,shuìjiào,to sleep / go to bed,1
verb,45,起,起,qǐ,to rise / get up,2
verb,46,起床,起床,qǐchuáng,to get out of bed,2
verb,47,回,回,huí,to return / go back,1
verb,48,回来,回來,huílái,to come back,2
verb,49,回去,回去,huíqù,to go back,2
verb,50,到,到,dào,to arrive / reach,2
adjective,1,大,大,dà,big / large,1
adjective,2,小,小,xiǎo,small,1
adjective,3,多,多,duō,many / much,1
adjective,4,少,少,shǎo,few / little,1
adjective,5,好,好,hǎo,good,1
adjective,6,坏,壞,huài,bad / broken,3
adjective,7,新,新,xīn,new,2
adjective,8,旧,舊,jiù,old (used),3
adjective,9,老,老,lǎo,old (aged) / experienced,3
adjective,10,年轻,年輕,niánqīng,young,3
adjective,11,高,高,gāo,tall / high,2
adjective,12,矮,矮,ǎi,short (height),3
adjective,13,长,長,cháng,long,2
adjective,14,短,短,duǎn,short (length),3
adjective,15,胖,胖,pàng,fat,3
adjective,16,瘦,瘦,shòu,thin (person),3
adjective,17,厚,厚,hòu,thick,5
adjective,18,薄,薄,báo,thin (object),5
adjective,19,宽,寬,kuān,wide,5
adjective,20,窄,窄,zhǎi,narrow,6
adjective,21,重,重,zhòng,heavy,4
adjective,22,轻,輕,qīng,light (weight),4
adjective,23,快,快,kuài,fast / quick,2
adjective,24,慢,慢,màn,slow,2
adjective,25,早,早,zǎo,early,2
adjective,26,晚,晚,wǎn,late,2
adjective,27,远,遠,yuǎn,far,2
adjective,28,近,近,jìn,near / close,2
adjective,29,热,熱,rè,hot,1
adjective,30,冷,冷,lěng,cold,1
