POS,Rank,Hebrew,Transliteration,English,Gender,Root,Binyan
verb,6,נתן,natan,to give / allow,,נ-ת-ן,Pa me
verb,7,ראה,ra'a,to see / watch,,ר-א-ה,Pa'al
verb,8,דע,yada,to know (a fact),,י-ד-ע,Pa'al
verb,9,רצה,ratza,to want,,ר-צ-ה,Pa'al
verb,10,יכל,yachol,to be able / can,,י-כ-ל,Pa'al
verb,11,לקח,lakach,to take / get,,ל-ק-ח,Pa'al
verb,12,ישב,yashav,to sit / reside,,י-ש-ב,Pa'al
verb,13,עמד,amad,to stand / stop,,ע-מ-ד,Pa'al
verb,14,שמע,shama,to hear / listen,,ש-מ-ע,Pa'al
verb,15,דבר,diber,to speak / talk,,ד-ב-ר,Pi'el
verb,16,חזר,chazar,to return / repeat,,ח-ז-ר,Pa'al
verb,17,שאל,sha'al,to ask / borrow,,ש-א-ל,Pa'al
verb,18,ענה,ana,to answer / reply,,ע-נ-ה,Pa'al
verb,19,כתב,katav,to write,,כ-ת-ב,Pa'al
verb,20,קרא,kara,to read / call,,ק-ר-א,Pa'al
verb,21,אכל,achal,to eat,,א-כ-ל,Pa'al
verb,22,שתה,shata,to drink,,ש-ת-ה,Pa'al
verb,23,קנה,kana,to buy / acquire,,ק-נ-ה,Pa'al
verb,24,מכר,machar,to sell,,מ-כ-ר,Pa'al
verb,25,עבד,avad,to work / serve,,ע-ב-ד,Pa'al
adjective,1,גדול,gadol,big / large,m,ג-ד-ל,
adjective,2,קטן,katan,small / little,m,ק-ט-ן,
adjective,3,טוב,tov,good / fine,m,ט-ו-ב,
adjective,4,רע,ra,bad / evil,m,ר-ע-ע,
adjective,5,חדש,chadash,new / fresh,m,ח-ד-ש,
adjective,6,ישן,yashan,old (not new),m,י-ש-ן,
adjective,7,יפה,yafe,beautiful / pretty,m,י-פ-ה,
adjective,8,חכם,chacham,smart / wise,m,ח-כ-ם,
adjective,9,חם,cham,hot / warm,m,ח-מ-מ,
adjective,10,קר,kar,cold,m,ק-ר-ר,
adjective,11,רחוק,rachok,far / distant,m,ר-ח-ק,
adjective,12,קרוב,karov,near / close,m,ק-ר-ב,
adjective,13,גבוה,gavoha,tall / high,m,ג-ב-ה,
adjective,14,נמוך,namuch,short / low,m,נ-מ-ך,
adjective,15,ארוך,aroch,long,m,א-ר-ך,
adjective,16,קצר,katzar,short (length),m,ק-צ-ר,
adjective,17,קשה,kashe,hard / difficult,m,ק-ש-ה,
adjective,18,קל,kal,easy / light,m,ק-ל-ל,
adjective,19,מעניין,me'anyen,interesting,m,ע-נ-י-ן,
adjective,20,חשוב,chashuv,important,m,ח-ש-ב,
adjective,21,שמח,same'ach,happy / joyful,m,ש-מ-ח,
adjective,22,עצוב,atsuv,sad,m,ע-צ-ב,
adjective,23,עייף,ayef,tired,m,ע-י-ף,
adjective,24,רעב,ra'ev,hungry,m,ר-ע-ב,
adjective,25,צמא,tzame,thirsty,m,צ-מ-א,
